Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:09:01 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775160851791902 | Message Content: 
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper) | Author ID: 514835126220226580 | Sent At: 2020-11-30 01:09:04 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775172024500265 | Message Content: CHILL
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:09:15 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775219446218793 | Message Content: pls gift 188 pinkphallicobject <@540303024078192661>
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:09:16 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775221324480552 | Message Content: You gave BlaZe **188** pinkphallicobject, now you have 0 and they've got 277
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper) | Author ID: 514835126220226580 | Sent At: 2020-11-30 01:09:16 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775224092590110 | Message Content: pls why would anyone need t h a t many
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:09:20 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775239536410624 | Message Content: Issue resolved
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper) | Author ID: 514835126220226580 | Sent At: 2020-11-30 01:09:22 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775246960590878 | Message Content: 😀😀😀
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:09:26 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775264462503956 | Message Content: pls disable gift
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper) | Author ID: 514835126220226580 | Sent At: 2020-11-30 01:09:26 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775264589119518 | Message Content: 👩🏻‍🦯👩🏻‍🦯👩🏻‍🦯👩🏻‍🦯
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:09:26 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775264912080937 | Message Content: The following commands/categories have been disabled successfully:

`gift`
Author Name: BlaZe | Author Nickname: None | Author ID: 540303024078192661 | Sent At: 2020-11-30 01:09:32 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775289046499328 | Message Content: I’ll be having lots of fun tonight won’t I
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:09:33 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775293450125312 | Message Content: > pls why would anyone need t h a t many
~~You~~
Author Name: BlaZe | Author Nickname: None | Author ID: 540303024078192661 | Sent At: 2020-11-30 01:09:36 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775308222857248 | Message Content: Pls use nk
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:09:36 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775309288079380 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BlaZe | Author Nickname: None | Author ID: 540303024078192661 | Sent At: 2020-11-30 01:09:37 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775313313824818 | Message Content: <@616032766974361640>
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper) | Author ID: 514835126220226580 | Sent At: 2020-11-30 01:09:38 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775313519476737 | Message Content: LOL SKSJKSSJ
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:09:38 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775314509856798 | Message Content: Alright, BLANK is gonna be in for a treat when they check their inventory :flushed:
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:09:48 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775358453841951 | Message Content: > Pls use nk
Trying ta beat a bot?
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:10:23 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775504729276428 | Message Content: I should probably prune the spam
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper) | Author ID: 514835126220226580 | Sent At: 2020-11-30 01:10:46 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775602562334720 | Message Content: Yes pls
